万国城MOMA,东城-东直门外-香河园路1号,116.444877,39.953992,116084,↓1.86%,768,1140,暂无数据,3.50元/平米/月,220000m²,2248户,2004年,1：1.25,4,30%(一般),当代节能置业股份有限公司,第一物业服务（北京）有限公司,
聚龙花园,东城-东直门外-新中街68号,116.448689,39.935803,76479,↓0.48%,143,48,暂无数据,3.50元/平米/月,200000m²,500户,1997年,地上150一月、地下每位每月400元,2.1,35%(一般),北京城信房地产开发有限公司,北京中天楼宇综合管理有限公司,史家实验学校,
海晟名苑(北区),东城-东直门外-东直门外大街乙36号,116.449533,39.945188,132887,↑0.09%,694,794,暂无数据,暂无数据,235000m²,1060户,2015年,1459,2.98,50%(高),北京海晟房地产开发有限公司,仲量联行物业管理有限公司,史家实验学校,
水上华城,东城-广渠门-夕照寺街16号,116.448558,39.893583,106760,↓2.70%,401,170,暂无数据,3.00元/平米/月,286000m²,1800户,2005年,地下停车位,4.17,30%(一般),北京神华房地产有限责任公司,中海物业管理有限公司,
新怡家园,东城-前门-东兴隆街,116.421283,39.904532,140128,↓1.31%,350,197,暂无数据,2.93元/平米/月,418067m²,1468户,2006年,1027,2.3,30%(一般),北京崇文新世界房地产发展有限公司,北京新世界物业管理有限公司,前门小学,
中海紫御公馆,东城-永定门-永定门西滨河路,116.396854,39.876452,130833,↑3.91%,739,1027,暂无数据,3.20元/平米/月,400000m²,2208户,2010年,1104,3.3,30%(一般),北京中海豪峰房地产开发有限公司,北京中海物业管理有限公司,
霞公府,东城-王府井-霞公府街3号,116.414542,39.916165,132670,↑1.27%,385,76,暂无数据,1.65元/平米/月,35000m²,72户,2010年,189,2.19,25%(一般),北京紫金世纪置业有限责任公司,世邦魏理仕,
华普花园,东城-东直门内-东直门南大街9号,116.438962,39.942177,68028,↓12.93%,98,51,暂无数据,5.50元/平米/月,338000m²,457户,1999年,地上150,3.8,30%(一般),华普产业集团,北京中地物业管理有限公司,景山学校北校区,
朱雀门小区,东城-永定门-太平街,116.389123,39.87718,137681,↓7.40%,263,98,暂无数据,3.95元/平米/月,210000m²,850户,2008年,充足,1.95,35%(一般),北京中集宏达房地产开发有限公司,香港戴德梁行物业管理公司,育才小学,
海晟名苑(南区),东城-东直门外-东直门外大街乙36号,116.448873,39.943878,131938,↓0.40%,507,665,暂无数据,4.00元/平米/月,212803m²,800户,2008年,1459,2.98,50%(高),北京海晟房地产开发有限公司,北京仲量联行物业管理服务有限公司,史家实验学校,
左安浦园,东城-龙潭湖-左安门内大街,116.445264,39.880221,84879,↑5.42%,309,65,暂无数据,1.15元/平米/月,480000m²,2403户,2004年,1200,2.5,30%(一般),北京崇开嘉信房地产开发有限公司,北京崇开嘉信物业管理有限公司,
东方豪庭公寓,东城-东单-东长安街,116.421496,39.916099,50000,↑130.29%,3,211,暂无数据,3.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,4.5,30%(一般),暂无数据,万科物业管理有限公司,
阳光都市,东城-东直门外-新中街18号,116.447638,39.941163,107254,——,843,720,暂无数据,2.86元/平米/月,200000m²,816户,2000年,800,3,37%(一般),北京华居工体北房地产开发有限公司,北京德佳物业管理有限公司,史家实验学校,
新奥洋房,东城-永定门-安乐林中街,116.416266,39.869774,84279,↓0.39%,73,92,暂无数据,暂无数据,43200m²,1200户,2004年,800,2.4,38%(一般),中冶置业（青岛）有限责任公司,北京新浩物业管理有限责任公司,定安里小学,
金鱼池西区,东城-前门-天坛路,116.41314,39.896097,94813,↓2.69%,110,41,暂无数据,1.39元/平米/月,288900m²,2796户,1990年,充足,1.6,36%(一般),北京华城房地产开发公司,北京世纪金龙物业管理有限责任公司,精忠街小学,
朝阳首府,东城-朝阳门内-朝阳门内大街8号,116.437283,39.929811,101233,↓5.32%,115,170,暂无数据,6.50元/平米/月,20000m²,287户,2010年,小区停车位,1.4,45%(高),北京龙洋房地产开发有限责任公司,北京假日阳光物业管理有限公司,
定安西里,东城-永定门-安定路,116.41785,39.865546,62111,↓1.11%,101,29,暂无数据,1.50元/平米/月,59000m²,1800户,2015年,小区停车位,1.89,20%(一般),北京城建房地产开发有限公司,暂无数据,
