尚峰尚水,海淀-温泉镇-温北路8号,116.189254,40.0535,66055,↓1.88%,307,335,暂无数据,3.98元/平米/月,259600m²,2000户,2012年,3000,1.5,30%(一般),北京世纪正源房地产开发有限公司,北京正源和美物业服务有限公司,
环山村小区,海淀-温泉镇-航材大道,116.213914,40.040223,56606,↓10.28%,13,15,暂无数据,0.70元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,业主自管,
馨悦家园,海淀-温泉镇-上庄路,116.219212,40.134009,31112,↑3.54%,38,59,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
秀山公寓,海淀-温泉镇-白家疃路,116.184546,40.046144,27193,↓5.57%,33,7,暂无数据,0.90元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,20%(一般),暂无数据,兴建物业管理有限公司,
北辰香麓欣麓园,海淀-温泉镇-温泉路,近簸箕水路,116.185075,40.05225,48131,↓11.12%,75,17,暂无数据,暂无数据,暂无数据,暂无数据,2009年,暂无数据,暂无数据,暂无数据,北京北辰实业集团有限责任公司,北京北辰信和物业管理有限责任公司,
丰户营小区,海淀-温泉镇-香山路53号,116.245473,40.006558,34595,↓0.59%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
遗光寺2号院,海淀-温泉镇-香山路,116.259551,40.010232,50404,↓0.78%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
颐西庄园(别墅),海淀-温泉镇-白家瞳路,116.187907,40.033243,27438,↑0.19%,0,4,暂无数据,1.75元/平米/月,46000m²,170户,2015年,1：1.6,0.8,46%(高),北京市海淀区上庄乡人民政府家庭农场筹备处,北京颐西庄园物业管理有限公司,
黑山扈路甲17号院,海淀-温泉镇-黑山扈路甲17号,116.270231,40.033727,80872,↑11.06%,0,0,暂无数据,0.80元/平米/月,86754m²,553户,2008年,600,2.5,30%(一般),北京城建房地产开发有限公司,军荣物业,
正白旗小区,海淀-温泉镇-香山路,116.225409,40.008443,76065,↑0.19%,0,0,暂无数据,1.20元/平米/月,暂无数据,500户,1993年,充足,暂无数据,30%(一般),暂无数据,暂无数据,
韩家川社区,海淀-温泉镇-韩家川路,116.254337,40.042886,86166,↓0.63%,0,1,暂无数据,1.20元/平米/月,20000m²,暂无数据,2000年,充足,1.8,40%(高),德诚永信中海开发有限公司,德诚永信中海物业,
御香山,海淀-温泉镇-镶白旗甲8号,116.226597,40.002856,48303,——,0,0,暂无数据,8.00元/平米/月,35393m²,46户,2008年,30,0.8,30%(一般),北京东方晟威房地产开发有限公司,北京高力国际物业服务有限公司,
西小营新村,海淀-温泉镇-温阳路,116.166964,40.086782,47107,↑15.04%,0,21,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,20%(一般),北京能源房地产开发有限责任公司,暂无数据,
向阳新村,海淀-温泉镇-香山路,116.242447,40.007907,96476,↓1.86%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
六所宿舍楼,海淀-温泉镇-航材大道,116.214467,40.044207,54635,↑0.19%,0,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1995年,暂无数据,暂无数据,20%(一般),暂无数据,暂无数据,
鹿谷庄园,海淀-温泉镇-南羊坊路,116.230015,40.026881,61880,↓3.01%,0,0,暂无数据,2.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
东小营甲1号小区,海淀-温泉镇-上庄路,116.214232,40.128467,30434,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
东岳公寓,海淀-温泉镇-香山路,116.240382,40.00493,92833,↓1.03%,0,0,暂无数据,0.35元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,20%(一般),暂无数据,暂无数据,
毛涤厂小区,海淀-温泉镇-沙阳路,116.245596,40.125006,48214,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1993年,暂无数据,2.1,30%(一般),嘉隆地产,信科,
