塞纳维拉永定华庭,海淀-玉泉路东-永定路22号,116.271858,39.927536,103736,↓0.77%,217,64,暂无数据,2.90元/平米/月,30571m²,270户,2012年,139,2.28,30%(一般),北京奥尼斯特房地产开发有限公司,北京天恒瑞海物业管理有限责任公司,
太平路48号院,海淀-玉泉路东-太平路48号,116.264749,39.905423,108792,↑27.61%,12,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1990年,500,暂无数据,30%(一般),北京新兴房地产开发总公司,北京新兴兴业物业管理有限公司,五一小学,
复兴路32号院,海淀-玉泉路东-复兴路32号,116.27811,39.91145,95494,↑0.82%,93,16,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1990年,暂无数据,2,30%(一般),北京城建集团有限责任公司,北京市六建单位物业,五一小学,
新兴年代,海淀-玉泉路东-太平路36号,116.276271,39.904047,98367,↓0.62%,140,27,暂无数据,2.50元/平米/月,74176m²,568户,2009年,450,3,43%(高),北京新兴建业房地产开发有限公司,北京新兴兴业物业管理责任有限公司,五一小学,
太平路36号院,海淀-玉泉路东-太平路36号,116.27807,39.906048,97864,↑0.25%,59,11,暂无数据,2.50元/平米/月,74176m²,568户,2006年,450
永定路西里小区,海淀-玉泉路东-永定路,116.270138,39.910899,103398,↓0.76%,216,51,普通住宅,2.24元/平米/月,暂无数据,暂无数据,1994年,200,暂无数据,35%(一般),北京城建集团有限责任公司,北京市新京物业管理有限责任公司,五一小学,
北太平路16号院,海淀-玉泉路东-北太平路16号,116.268472,39.909572,117764,↑0.73%,63,2,暂无数据,1.50元/平米/月,暂无数据,暂无数据,1995年,暂无数据,2,30%(一般),暂无数据,北京翔达物业管理公司,五一小学,
百朗园社区,海淀-玉泉路东-复兴路甲36号,116.26933,39.912802,70601,↓2.33%,107,1,暂无数据,2.80元/平米/月,63000m²,359户,2001年,充足,4.5,30%(一般),北京金建房地产开发有限公司,北京宝联物业管理有限公司,图强二小,
金沟河路17号院,海淀-玉泉路东-金沟河路17号,116.26844,39.924389,62762,↓5.76%,33,5,暂无数据,0.86元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,25%(一般),北京城建房地产开发有限公司,业主自管,
万地名苑,海淀-玉泉路东-西四环中路39号,116.279763,39.919434,62548,↓2.00%,42,6,普通住宅,2.80元/平米/月,暂无数据,暂无数据,2003年,暂无数据,4.1,30%(一般),万地房地产开发有限公司,北京万地物业管理有限公司,图强二小,
复兴路46号院,海淀-玉泉路东-复兴路46号,116.26035,39.912388,91585,↓7.95%,47,77,暂无数据,1.20元/平米/月,250000m²,646户,1990年,120/月,1.25,30%(一般),北京城建集团有限责任公司,业主自管,
恒盛欧洲公馆,海淀-玉泉路东-金沟河路26号,116.262938,39.923237,105945,↑0.13%,45,3,暂无数据,2.90元/平米/月,130000m²,586户,2011年,586,1.63,30%(一般),北京阳光鑫地置业有限公司,沈阳阳光鑫地物业管理有限公司,
玉阜嘉园,海淀-玉泉路东-玉泉路,116.261439,39.929498,78990,↑0.20%,223,37,暂无数据,1.80元/平米/月,129291m²,2000户,2003年,停车位700个，出租300元/月,2.2,58%(高),北京海开房地产股份有限公司,北京均豪物业管理股份有限公司,中科院附属玉泉小学,
玉海园二里,海淀-玉泉路东-玉泉路,116.260381,39.926361,74319,↓3.05%,212,125,暂无数据,0.95元/平米/月,暂无数据,暂无数据,1997年,暂无数据,暂无数据,30%(一般),北京海开房地产股份有限公司,北京安安物业管理中心,中科院附属玉泉小学,
玉海园一里,海淀-玉泉路东-田村路,116.261205,39.92809,83220,↑1.64%,122,45,暂无数据,暂无数据,暂无数据,暂无数据,1992年,暂无数据,暂无数据,暂无数据,北京海开房地产股份有限公司,北京海淀区久筑物业管理中心,中科院附属玉泉小学,
复兴路79号院,海淀-玉泉路东-复兴路79号,116.276767,39.915246,79862,↓0.98%,82,59,暂无数据,1.00元/平米/月,5000m²,560户,1998年,200,2.6,20%(一般),航天部,业主自营,图强二小,
