万寿路西街1号院,海淀-万寿路-万寿路西街1号,116.300637,39.916717,101374,↓8.79%,4,31,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中国电子信息产业集团公司,居民自理,育英学校小学部,
翠微路25号院,海淀-万寿路-翠微路25号,116.306701,39.904149,95827,↓1.94%,1,12,暂无数据,0.85元/平米/月,暂无数据,暂无数据,1992年,暂无数据,2.6,25%(一般),北京中房集团有限公司,中房集团物业公司,
澐澐国际,海淀-万寿路-莲宝路9号,116.303948,39.896522,59701,↓1.83%,61,12,暂无数据,2.50元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,30%(一般),北京龙翔房地产开发有限责任公司,北京新亮点呢物业管理有限公司,
首都医科大学家属楼,海淀-万寿路-复兴路,116.294643,39.915035,56261,↓2.66%,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1985年,暂无数据,暂无数据,25%(一般),暂无数据,暂无数据,
复兴路24号院,海淀-万寿路-复兴路24号,116.291145,39.910926,73238,↓1.43%,0,3,暂无数据,1.00元/平米/月,暂无数据,300户,2015年,35,暂无数据,40%(高),暂无数据,业主自管,
永金里小区,海淀-万寿路-阜石路,116.278063,39.9269,78260,——,0,1,公寓,1.60元/平米/月,180000m²,94户,1999年,地上150,4.5,30%(一般),北京京创房地产开发有限公司,北京宸居物业管理有限公司,
吴家村10号院,海淀-万寿路-吴家村10号,116.303951,39.894835,79207,↑1.89%,4,1,暂无数据,0.50元/平米/月,130000m²,1600户,1998年,一户一位,2.5,20%(一般),暂无数据,中国铁路总局,
金沟河5号院,海淀-万寿路-金沟河路,116.273432,39.925167,85555,——,0,1,公寓,2.00元/平米/月,60000m²,1500户,1984年,600,2,35%(一般),北京城建集团有限责任公司,业主自管,图强二小,
太平路甲26号院,海淀-万寿路-太平路甲26号,116.287573,39.905914,82412,↓1.46%,0,2,暂无数据,暂无数据,800m²,200户,1998年,20,1.2,33%(一般),北京电力公司,居民自理,
莲宝路7号院,海淀-万寿路-莲宝路7号,116.30663,39.896615,79586,——,0,12,暂无数据,2.00元/平米/月,240000m²,1600户,2002年,地下1000个
明日家园,海淀-万寿路-太平路甲25号,116.28463,39.907044,57142,↑0.06%,0,1,暂无数据,暂无数据,4000m²,1800户,2000年,500,2.5,48%(高),苏州嘉实房地产发展有限公司,居民自理,
太平路小区,海淀-万寿路-太平路,116.282478,39.905939,68642,↓1.66%,0,0,暂无数据,2.60元/平米/月,暂无数据,暂无数据,1995年,暂无数据,暂无数据,10%(低),北京城建房地产开发有限公司,北京兰基物业管理有限公司,
翠微路21号院,海淀-万寿路-翠微路21号,116.3081,39.906194,88238,↓1.19%,0,0,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.7,40%(高),北京中房集团有限公司,业主自管,
复兴路20号院,海淀-万寿路-复兴路20号,116.306594,39.912501,91642,↓1.25%,0,2,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.9,25%(一般),北京城建房地产开发有限公司,暂无数据,翠微小学,
复兴路22号院,海淀-万寿路-复兴路22号,116.295528,39.913382,89452,↓1.48%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,0.9,30%(一般),北京城建集团有限责任公司,北京六建集团公司物业管理分公司,
复兴路甲18号院,海淀-万寿路-复兴路甲18号,116.310217,39.913096,79268,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
复兴路甲63号院,海淀-万寿路-复兴路甲63号,116.295418,39.914642,88238,↓1.19%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,育英学校小学部,
瑞兴公寓,海淀-万寿路-太平路25号,116.294651,39.908162,87833,↓1.09%,0,0,暂无数据,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京瑞兴物业管理有限公司,
