红联村,海淀-小西天-文慧园西路,116.366197,39.955715,94938,↑3.74%,16,22,暂无数据,0.65元/平米/月,暂无数据,暂无数据,1983年,暂无数据,暂无数据,暂无数据,北京百城置业集团有限公司,房管所代管物业,
文慧园北路4号院,海淀-小西天-文慧园北路4号,116.368593,39.961541,71008,↓18.77%,5,42,暂无数据,0.80元/平米/月,3650m²,1500户,2000年,充足,2.2,30%(一般),首钢国际,北京金鸿物业管理有限公司,
学院南路乙10号院,海淀-小西天-学院南路乙10号,116.372226,39.962699,81749,↓7.32%,8,41,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1987年,暂无数据,暂无数据,暂无数据,暂无数据,街道代管物业,
首钢西直门居民区,海淀-小西天-文慧园斜街,116.36451,39.956044,45882,↓3.41%,1,3,暂无数据,2.20元/平米/月,暂无数据,暂无数据,1998年,暂无数据,2.5,30%(一般),暂无数据,首钢物业,
学院南路32号院,海淀-小西天-学院南路32号,116.364159,39.962261,86395,↓6.35%,16,164,暂无数据,0.64元/平米/月,暂无数据,暂无数据,1959年,暂无数据,暂无数据,暂无数据,北京市市政四建设工程有限责任公司,单位自管物业,
西晴公寓,海淀-小西天-西直门北大街,116.364055,39.954334,88771,↓10.25%,2,41,暂无数据,2.50元/平米/月,70000m²,900户,2001年,充足,3,30%(一般),北京光大房地产开发有限公司,西晴物业服务有限公司,
志强北园,海淀-小西天-文慧园路,116.37241,39.959497,86420,↓1.30%,217,215,普通住宅,1.00元/平米/月,暂无数据,暂无数据,2000年,266,1.2,30%(一般),华润置地（北京）股份有限公司,北京华润置地物业管理有限公司,
清河电信宿舍,海淀-小西天-清河中街,116.382792,39.975481,60000,——,0,0,暂无数据,0.90元/平米/月,暂无数据,暂无数据,1988年,暂无数据,暂无数据,暂无数据,暂无数据,网信物业管理有限公司,
长城无线电厂小区,海淀-小西天-学院南路30号,116.36634,39.963293,94769,——,0,1,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
西单宿舍,海淀-小西天-花园路,116.37298,39.987461,96472,——,0,0,公寓,1.00元/平米/月,25310m²,720户,1986年,300,3.2,20%(一般),西单商场,北京西海房地产开发有限公司,
新街口外大街23号院,海淀-小西天-新街口外大街23号,116.377428,39.96198,72569,——,0,8,暂无数据,1.30元/平米/月,87000m²,988户,2000年,450,1.63,19%(低),北京惠安兴业房地产开发有限责任公司,北京惠安兴业房地产开发有限责任公司,
北太平庄路小区,海淀-小西天-北太平庄路15号,116.375874,39.97934,94353,——,0,0,公寓,2.60元/平米/月,10000m²,3000户,1990年,200,2.1,15%(低),北京华瑞兴业房地产开发有限公司,北京雅日物业管理公司,
新街口外大街25号院,海淀-小西天-新街口外大街25号,116.376085,39.95958,102222,↓0.03%,0,1,暂无数据,0.95元/平米/月,78800m²,688户,2015年,780,1.6,22%(一般),北京惠安兴业房地产开发有限责任公司,单位自管物业,
德胜门外西大街甲5号小区,海淀-小西天-德胜门外西大街,116.372061,39.953199,87218,——,0,3,公寓,0.40元/平米/月,暂无数据,800户,暂无数据,400,暂无数据,25%(一般),暂无数据,暂无数据,
新街口外大街28号院,海淀-小西天-新街口外大街28号院,116.38050791704,39.958920926688,141951,——,0,2,公寓,1.30元/月/平方米,暂无数据,360户,1986年,360,1.6,40%(高),暂无数据,暂无数据,
北太平庄中路甲43号院,海淀-小西天-马甸西路,116.378649,39.9789,89821,——,0,1,暂无数据,1.25元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.7,30%(一般),暂无数据,暂无数据,
威凯星期八,海淀-小西天-新街口外大街,116.370718,39.956537,95192,——,0,6,暂无数据,1.86元/平米/月,暂无数据,暂无数据,2001年,暂无数据,4,33%(一般),北京市威凯房地产开发经营公司,羲合物业管理有限公司,
小西天电车宿舍,海淀-小西天-文慧园路,116.375857,39.957865,87837,——,0,0,暂无数据,0.35元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
德胜门西大街甲5号院,海淀-小西天-德胜门西大街甲5号,116.370624,39.953091,102385,——,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2.5,26%(一般),北京地铁房地产开发经营公司,北京建安物业管理有限公司,
中国建材对外公司宿舍,海淀-小西天-文慧园南路,116.368782,39.956526,92690,↓2.23%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无开发商,房管所代管物业,
文慧园路5号小区,海淀-小西天-文慧园路5号,116.375213,39.958927,75757,↓6.83%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,1996年,暂无数据,暂无数据,暂无数据,无开发商,北京文慧园路物业管理有限公司,
