蓝靛厂翠叠园,海淀-世纪城-蓝靛厂中路,116.292102,39.969095,119140,↑5.27%,489,123,暂无数据,2.52元/平米/月,60000m²,966户,2004年,1344,1.7,30%(一般),北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,人大附小,
观山园(蓝靛厂),海淀-世纪城-蓝靛厂路,116.28823,39.972029,135193,↑2.71%,336,135,暂无数据,2.52元/平米/月,暂无数据,暂无数据,2004年,暂无数据,1.7,35%(一般),北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,人大附小,
远大园四区,海淀-世纪城-远大中路,116.292856,39.959831,104213,↓0.03%,426,165,暂无数据,1.25元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.1,35%(一般),北京金源鸿大房地产开发有限公司,北京世纪城物业管理有限公司四区管理处,人大附小,
春荫园,海淀-世纪城-蓝靛厂中路,近老营房路,116.288671,39.969392,109158,——,318,284,暂无数据,2.52元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.2,48%(高),北京金源鸿大房地产有限公司,北京世纪颐和物业管理有限责任公司,
晨月园,海淀-世纪城-蓝靛厂西路,116.288857,39.964669,100910,↓2.84%,206,241,暂无数据,1.25元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金源鸿大房地产开发有限公司,北京海清物业管理有限公司,人大附小,
远大园二区,海淀-世纪城-远大西路,116.28758,39.961718,96622,↓6.22%,32,18,暂无数据,1.21元/平米/月,2480000m²,2600户,2000年,350元/车位/月,2.71,32%(一般),北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,人大附小,
世纪金源国际公寓,海淀-世纪城-远大路69号,116.286323,39.959923,86407,——,145,4,暂无数据,5.00元/平米/月,186800m²,190户,2001年,700,1.8,35%(一般),北京金源鸿大房地产有限公司,北京世纪颐和物业管理有限责任公司,人大附小,
烟树园小区,海淀-世纪城-北京市海淀区蓝靛厂西路,116.285238,39.968629,98511,↓1.87%,154,145,暂无数据,1.20元/平米/月,2510000m²,11000户,2004年,1000元/车位/月,2.2,35%(一般),北京金源鸿大房地产开发有限公司,世纪城物业公司,人大附小,
晴波园(蓝靛厂),海淀-世纪城-老营房路,116.295095,39.96944,132665,↓0.82%,209,218,暂无数据,2.52元/平米/月,2480000m²,750户,2004年,650,2.1,40%(高),北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,人大附小,
远大园五区,海淀-世纪城-远大中路,116.289293,39.958008,115937,↑0.71%,350,129,暂无数据,2.52元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.1,35%(一般),北京金源鸿大房地产开发有限公司,北京世纪城物业管理有限公司五区管理处,人大附小,
远大园六区,海淀-世纪城-板井路,116.292902,39.95727,107847,↓1.46%,117,118,暂无数据,1.25元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.1,35%(一般),北京金源鸿大房地产开发有限公司,北京世纪城物业管理有限公司六区管理处,人大附小,
金夕园,海淀-世纪城-老营房路,116.28464,39.967129,94383,↓4.03%,116,30,暂无数据,1.25元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,38%(一般),北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,
