西山国际城,海淀-田村-阜石路甲69号,116.236047,39.932998,66925,↑0.43%,330,440,公寓,4.20元/平米/月,170040m²,1338户,2011年,1468,1.38,33%(一般),北京锦绣大地房地产开发有限公司,北京昌泽物业管理有限公司,首师大附小,
香溪度,海淀-田村-田村北路,116.246659,39.939002,87970,↑0.07%,210,39,暂无数据,2.80元/平米/月,11m²,700户,2009年,1：1.06的全地下车库，独立车行线，电,2.3,30%(一般),北京青远房地产开发有限公司,北京大苑天地物业管理有限公司,
熙湖小区,海淀-田村-田村路,近砂石厂路,116.246931,39.937068,72499,↓5.08%,171,31,暂无数据,2.50元/平米/月,260000m²,650户,2008年,地下停车560/月,1.8,35%(一般),北京市龙鼎华源房地产开发有限责任公司,北京大苑天地物业管理有限公司,
金玉府,海淀-田村-阜石路,近上庄大街,116.236838,39.926921,84675,↑14.14%,179,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,2.8,30%(一般),北京金隅嘉业房地产开发有限公司,北京金隅大成物业管理有限公司,
海澜中苑,海淀-田村-田村北路,116.250133,39.939085,49278,↓5.84%,24,70,暂无数据,暂无数据,暂无数据,2000户,1998年,150元/车位/月,2,30%(一般),大苑天地房地产开发有限公司,北京槐雅园物业管理有限公司,
幸福时光圆梦居,海淀-田村-半壁店甲1号,116.26859,39.937814,60818,↓16.61%,25,7,暂无数据,0.80元/平米/月,32000m²,336户,2004年,充足，地上车位150/月,2,76%(高),北京兴源房地产开发有限公司,北京兴业源物业管理有限公司,
海澜东苑,海淀-田村-田村北路,116.253507,39.939356,51285,↑12.09%,2,10,暂无数据,1.50元/平米/月,暂无数据,1124户,2015年,150元/车位/月,1.7,30%(一般),暂无数据,暂无数据,
田村路41号院,海淀-田村-田村路41号,116.265756,39.935908,70759,↓1.04%,13,9,暂无数据,暂无数据,暂无数据,1200户,1987年,停车位充足，1
建西苑北里,海淀-田村-八角北路,116.214651,39.928665,69156,↓3.42%,35,18,暂无数据,0.55元/平米/月,80000m²,2500户,2001年,5000,1.4,25%(一般),北京建筑材料集团总公司房地产开发公司,北京金隅大成物业管理有限公司,
什坊院甲2号院,海淀-田村-田村路,116.239588,39.934583,71642,↓1.59%,0,19,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
中国房子,海淀-田村-田村路,116.311069,39.935565,80000,↑0.11%,0,5,暂无数据,1.98元/平米/月,100000m²,722户,2004年,地上停车免费,1.98,30%(一般),北京大苑天地房地产开发有限责任公司,北京大苑天地物业管理有限公司,
田村山庄,海淀-田村-田村山南路,116.254482,39.927185,62804,——,0,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1998年,充足,暂无数据,30%(一般),海淀区玉泉新城开发有限公司,玉泉新城物业管理有限公司,首师大附小,
景宜里,海淀-田村-田村路,116.257359,39.936983,75519,——,0,1,公寓,1.98元/平米/月,93000m²,800户,2004年,地上150元/月，地下260元/月,2,30%(一般),北京大苑天地房地产开发有限责任公司,北京大苑天地物业管理有限公司,
田村路23号院,海淀-田村-田村路23号,116.271958,39.936397,56000,↓0.62%,0,14,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,居委会代收,
葡萄酒厂宿舍楼,海淀-田村-田村路48号,116.263037,39.935232,65833,↓1.46%,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,30,暂无数据,暂无数据,暂无数据,北京鸿宇嘉盛物业管理有限公司,
雪芳园,海淀-田村-田村路,116.253691,39.934965,76827,——,0,0,公寓,2.98元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.33,30%(一般),暂无数据,暂无数据,
永定路甲4号院,海淀-田村-永定路甲4号,116.277049,39.934457,66908,——,0,19,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1998年,124,暂无数据,暂无数据,暂无数据,业主自管,
半壁店甲59号院,海淀-田村-半壁店二街,116.26729,39.937264,64538,↑0.88%,0,23,暂无数据,暂无数据,暂无数据,暂无数据,2004年,暂无数据,暂无数据,25%(一般),暂无数据,业主自管,
