首开铂郡,朝阳-三里屯-新东路12号,116.457691,39.944634,94292,↓0.52%,264,412,公寓,5.60元/平米/月,200000m²,1650户,2011年,1000,3.97,30%(一般),北京首都开发控股（集团）有限公司,北京嘉宝物业管理有限公司,
牛王庙小区,朝阳-三里屯-东三环北路,116.465644,39.958714,81428,↓0.83%,4,9,暂无数据,0.50元/平米/月,13248m²,276户,1977年,150,1.8,25%(一般),北京建工集团第三房地产开发公司,北京乐都物业管理有限公司,
联宝公寓,朝阳-三里屯-幸福村中路,116.451695,39.941778,72368,——,74,20,公寓,4.80元/平米/月,暂无数据,暂无数据,2015年,178,3,30%(一般),北京联宝房地产有限公司,北京燕桥物业管理有限公司,朝阳实验小学,
幸福公寓,朝阳-三里屯-工人体育场北路,116.452517,39.941292,67376,↑5.64%,17,14,暂无数据,3.00元/平米/月,12192m²,暂无数据,1997年,30,3,30%(一般),北京纵横房地产开发经营公司,北京宏美幸福物业管理有限公司,朝阳实验小学,
新源里西小区,朝阳-三里屯-新东路,116.454811,39.955738,77459,↓1.81%,39,13,暂无数据,0.50元/平米/月,50000m²,3300户,1999年,1500,2,40%(高),首创股份有限公司,北京市朝阳区物业管理有限公司,
太平庄南里小区,朝阳-三里屯-春秀路,116.45095,39.942766,83771,↓0.58%,17,18,公寓,0.50元/平米/月,30000m²,416户,1992年,100,暂无数据,30%(一般),首创朝阳房地产发展有限公司,北京市朝阳区房屋管理公司,朝阳实验小学,
东直门外大街34号小区,朝阳-三里屯-东直门外大街34号,116.451529,39.94665,99419,↑8.81%,3,3,暂无数据,0.50元/平米/月,暂无数据,200户,1988年,100,3,20%(一般),暂无数据,暂无数据,
儒林苑,朝阳-三里屯-三源里北小街16-18号,116.460217,39.960637,102813,↑18.62%,0,21,暂无数据,2.00元/平米/月,11024m²,84户,2003年,充足,2.8,33%(一般),北京金陛房地产发展有限公司,北京朝阳区物业管理有限公司左家庄分公司,
三里屯外交公寓,朝阳-三里屯-工体北路,116.464551,39.939997,68458,↓12.98%,0,23,暂无数据,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
东直门外大街20号小区,朝阳-三里屯-东直门外大街20号,116.456395,39.946487,73227,↓7.18%,0,4,暂无数据,暂无数据,暂无数据,120户,1988年,100,3,30%(一般),北京市东城区住宅建设开发公司,暂无数据,
东直门外斜街8号院,朝阳-三里屯-东直门外斜街8号,116.449721,39.952354,73227,↓6.20%,0,16,暂无数据,暂无数据,28000m²,180户,1988年,暂无数据,2.7,暂无数据,绿城中国,暂无数据,
东直门外大街18号小区,朝阳-三里屯-东直门外大街18号,116.458302,39.946588,83137,↓0.14%,0,7,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1976年,9,2.3,30%(一般),暂无数据,北京市朝阳区房屋管理公司,
东直门外大街22号小区,朝阳-三里屯-东直门外大街22号,116.456092,39.946532,94531,↑3.47%,0,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1999年,暂无数据,3,25%(一般),北京市东城区住宅建设开发公司,暂无数据,
东直门外大街24号小区,朝阳-三里屯-东直门外大街24号,116.455418,39.946588,83000,↓0.36%,0,6,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
东直门外大街30号小区,朝阳-三里屯-东直门外大街30号,116.452705,39.946594,96963,↓0.43%,0,10,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3,30%(一般),暂无数据,暂无数据,
新东路4号小区,朝阳-三里屯-新东路4号,116.457487,39.946062,74226,↓10.30%,0,10,公寓,0.90元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,鸿运承物业管理中心,
太平庄10号院,朝阳-三里屯-春秀路,116.452097,39.94393,77500,↓0.39%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
新源西里社区,朝阳-三里屯-新东路,116.453644,39.953693,61175,↓15.27%,0,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
幸福三村,朝阳-三里屯-东直门外大街16号,116.4587551,39.94664945,94102,↑3.97%,1,22,公寓,0.80元/平米/月,暂无数据,暂无数据,1980年,332,2.8,20%(一般),北京天鸿宝地房地产开发有限责任公司,北京天鸿宝地物业管理有限公司,朝阳实验小学,
新源西里中街小区,朝阳-三里屯-新源西里中街,116.452553,39.954375,77006,↓0.44%,40,15,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
