碧海方舟,朝阳-亚运村-鼎成路6号,116.446305,40.002488,127960,↑3.73%,364,19,暂无数据,10.00元/平米/月,77000m²,104户,2003年,258,0.6,43%(高),北京姜庄湖园林别墅开发有限公司,北京世邦魏理仕物业公司,
干杨树甲16号院,朝阳-亚运村-北四环东路,116.426234,39.996408,96466,↓0.44%,45,79,暂无数据,2.30元/平米/月,200000m²,1200户,2001年,800,3,35%(一般),
润枫德尚国际公寓,朝阳-亚运村-安立路60号,116.416258,40.011458,82334,↓1.65%,192,98,暂无数据,3.20元/平米/月,12m²,548户,2004年,498,5.68,35%(一般),北京润丰房地产开发有限公司,北京润丰物业管理有限公司,
安慧里一区,朝阳-亚运村-慧忠路,116.420772,39.997962,78696,↑0.56%,342,177,暂无数据,1.50元/平米/月,452000m²,2712户,1990年,2000,2.6,35%(一般),北京北辰房地产开发股份有限公司,北京北辰信诚物业管理有限责任,中国音乐学院附属北京实验学校,
慧忠里小区,朝阳-亚运村-北辰东路,116.40935,40.001734,80196,↓2.26%,176,314,暂无数据,1.50元/平米/月,70000m²,1300户,1996年,900,2.2,34%(一般),北京华汇房地产开发公司,北京住总北宇物业管理有限责任公司,朝阳外国语学校慧忠里校区小学部,
安慧北里小区,朝阳-亚运村-慧忠路,116.419094,40.001831,75140,↓2.35%,72,47,暂无数据,1.98元/平米/月,1300000m²,12000户,1996年,出租地上150元/月，地下350元/月,2,30%(一般),北辰房地产开发股份有限公司,北京北辰信诚管理有限责任公司,中国音乐学院附属北京实验学校,
凯旋城,朝阳-亚运村-北苑路170号,116.425428,40.003941,95757,↓0.32%,224,240,暂无数据,4.90元/平米/月,250000m²,1200户,2003年,地下停车位,3.5,35%(一般),北京太合龙脉房地产开发有限责任公司,深圳开元国际物业公司北京分公司,陈经纶中学嘉铭分校西校区小学部,
加利大厦,朝阳-亚运村-北苑路180号,116.42267,39.997602,47492,↓8.70%,61,69,暂无数据,1.69元/平米/月,43000m²,320户,2005年,200,2.5,35%(一般),北京北辰房地产开发股份有限公司,北京北辰物业管理有限公司,
嘉铭桐城A区,朝阳-亚运村-北苑路,116.435944,40.007552,94530,↑3.41%,99,205,暂无数据,2.10元/平米/月,280000m²,3786户,2001年,2000,2.3,30%(一般),北京嘉铭房地产开发有限责任公司,北京首欣物业管理有限责任公司,陈经纶中学嘉铭分校东校区小学部,
大屯里小区,朝阳-亚运村-北苑路,116.421876,40.014127,67269,↓2.07%,182,348,暂无数据,1.05元/平米/月,400000m²,1680户,2003年,地下停车位
慧忠里B区,朝阳-亚运村-安立路,116.41268,40.007165,81472,↓1.04%,100,97,暂无数据,1.50元/平米/月,70000m²,500户,1998年,800个,2,30%(一般),北辰房地产开发股份有限公司,北京住总北宇物业管理有限责任公司,朝阳外国语学校慧忠里校区小学部,
世纪村(一区),朝阳-亚运村-育慧东路,116.438644,40.000275,78189,↓5.75%,39,47,暂无数据,1.20元/平米/月,暂无数据,暂无数据,1994年,550,2.2,33%(一般),北京北辰房地产开发股份有限公司,北京北辰信诚管理有限责任公司,芳草地国际学校世纪小学,
紫庐,朝阳-亚运村-辛店北路,116.437112,40.021733,73835,↓2.02%,17,0,暂无数据,4.30元/平米/月,18000m²,39户,2005年,78,0.8,34%(一般),北京恒世基业房地产开发有限公司,第一太平戴维斯物业顾问（北京）有限公司,
