燕归宁馨园,朝阳-小红门-博大路23号,116.479997,39.832923,45844,↑1.18%,64,13,暂无数据,1.98元/平米/月,197963m²,408户,2005年,1：1.2,2,40%(高),北京市监狱管理局清河分局,北京市祥宁物业管理有限公司,
恋日绿岛小区,朝阳-小红门-博大路25号,116.48487,39.832409,51367,↓0.70%,93,24,暂无数据,0.96元/平米/月,150000m²,510户,2002年,充足,1.69,30%(一般),北京恋日房地产开发有限公司,北京国泰顺达物业管理有限公司,
京泰自主城,朝阳-小红门-博大路,116.480163,39.841583,46413,↑3.17%,26,125,暂无数据,3.80元/平米/月,130000m²,1080户,2010年,充足，地上地下都有,2.12,25%(一般),北京京泰同成置业有限公司,北京同成中和物业管理有限公司,
三台山路3号院,朝阳-小红门-三台山路3号,116.454599,39.834794,41725,↓0.18%,0,29,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,街道办事处,
江南府,朝阳-小红门-红坊路6号,116.47615,39.833221,72915,↓0.58%,16,0,暂无数据,3.99元/平米/月,暂无数据,暂无数据,2000年,暂无数据,4.63,30%(一般),北京江南投资集团有限公司,绿城物业服务有限公司,
江南山水(别墅),朝阳-小红门-红坊路6号,116.480237,39.831704,54135,↓2.33%,12,1,暂无数据,暂无数据,暂无数据,暂无数据,2011年,暂无数据,0.8,33%(一般),北京江南集团,3,
江南山水,朝阳-小红门-红坊路6号,116.479135,39.831838,56279,↑0.36%,61,46,暂无数据,3.00元/平米/月,暂无数据,暂无数据,2011年,暂无数据,1.5,33%(一般),北京江南集团,北京瑞恒家辰物业管理有限公司,
鸿博家园,朝阳-小红门-鸿博西路,116.479479,39.835744,33900,↓0.82%,1095,430,暂无数据,0.55元/平米/月,198000m²,5214户,2007年,充足,1.7,30%(一般),北京市保障房建设委员会,鸿博物业管理有限公司,
